ID,Original Entity Name,Type,Original_Files
1,"'Artistic temperament', development of concept",E28 Conceptual Object,A_refined.csv
2,'Baciccio',E21 Person,B_refined.csv
3,'Monsù Desiderio',E21 Person,M_refined.csv
4,'Rosichino',E21 Person,Q-R_refined.csv
5,'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,S_refined.csv
6,A Dance to the Music of Time,E22 Man-Made Object,work-English_table.csv
7,A Donor Presented to the Virgin,E22 Man-Made Object,work-English_table.csv
8,A Seaport,E22 Man-Made Object,work-English_table.csv
9,A storm at sea,E22 Man-Made Object,work-English_table.csv
10,"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",E22 Man-Made Object,work-English_table.csv
11,A. C. Sewter,E21 Person,name-English_table.csv
12,A.M. Zanetti the Elder with Marchese Gerini,E22 Man-Made Object,work-English_table.csv
13,Abbey of Monte Cassino,E53 Place,gio-English_table.csv
14,Abbey of Santa Giustina,E53 Place,gio-English_table.csv
15,Abel Desjardins,E21 Person,name-English_table.csv
16,Abel-Fran?ois Poisson de Vandières,E21 Person,name-English_table.csv
17,Abigail,E21 Person,name-English_table.csv
18,Abigail giving Presents to David,E22 Man-Made Object,work-English_table.csv
19,Abraham Brueghel,E21 Person,name-English_table.csv
20,Abraham Nicolas Amelot de la Houssaye,E21 Person,name-English_table.csv
21,Abruzzo,E53 Place,gio-English_table.csv
22,Academy at Parma,E53 Place,gio-English_table.csv
23,Académie Fran?aise,E53 Place,gio-English_table.csv
24,Accademia Albrizziana,E74 Group,A_refined.csv; gio-English_table.csv
25,Accademia Carrara,E53 Place,gio-English_table.csv
26,Accademia degli Umoristi,E74 Group,A_refined.csv
27,Accademia dei Cacadubbi,E53 Place,gio-English_table.csv
28,Accademia dei Concordi di Rovigo,E53 Place,gio-English_table.csv
29,Accademia dei Lincei,E74 Group,A_refined.csv
30,Accademia del Disegno,E74 Group,A_refined.csv
31,Accademia di Belle Arti di Venezia,E53 Place,gio-English_table.csv
32,Accademia di Firenze,E53 Place,gio-English_table.csv
33,Accademia di Pittura e Scultura,E74 Group,A_refined.csv
34,Accademia di San Luca,E74 Group,A_refined.csv; gio-English_table.csv
35,Accbremia Albrizziana,E53 Place,gio-English_table.csv
36,Achille Bosisio,E21 Person,name-English_table.csv
37,Achille Neri,E21 Person,name-English_table.csv
38,"Acqua, Cristoforo dall'",E21 Person,A_refined.csv
39,Adam Bartsch,E21 Person,name-English_table.csv
40,"Adda, Cardinal d'",E21 Person,A_refined.csv
41,Addison,E22 Man-Made Object,work-English_table.csv
42,Adolf Salvatore Cavallo,E21 Person,name-English_table.csv
43,Adolfo Venturi,E21 Person,name-English_table.csv
44,Adonis,E21 Person,name-English_table.csv
45,Adoration of the Magi,E22 Man-Made Object,work-English_table.csv
46,Adriaen van der Werff,E21 Person,name-English_table.csv
47,Adriatic Sea,E53 Place,gio-English_table.csv
48,Aedes Barberina ad Quirinalem,E22 Man-Made Object,work-English_table.csv
49,Aeneas,E21 Person,name-English_table.csv
50,Aeneas de Caprara,E21 Person,name-English_table.csv
51,Aeneid,E22 Man-Made Object,work-English_table.csv
52,Agamemnon,E21 Person,name-English_table.csv
53,Agnolo Galli,E21 Person,G_refined.csv; name-English_table.csv
54,Agostino Andrea Chigi,E21 Person,name-English_table.csv
55,Agostino Barelli,E21 Person,B_refined.csv; name-English_table.csv
56,Agostino Ciampelli,E21 Person,C_refined.csv; name-English_table.csv
57,Agostino Mascardi,E21 Person,M_refined.csv; name-English_table.csv
58,Agostino Masucci,E21 Person,name-English_table.csv
59,Agostino Mitelli,E21 Person,M_refined.csv; name-English_table.csv
60,Agostino Sagredo,E21 Person,name-English_table.csv
61,Agostino Tassi,E21 Person,T_refined.csv; name-English_table.csv
62,"Aix-la-Chapelle, Peace of",E5 Event,A_refined.csv
63,Alan Noel Latimer Munby,E21 Person,name-English_table.csv
64,"Albani, Cardinal Annibale",E21 Person,A_refined.csv
65,"Albani, Francesco",E53 Place,A_refined.csv
66,"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,A_refined.csv
67,"Albergati-Capacelli, Francesco",E53 Place,A_refined.csv
68,Albergo del Moretto,E53 Place,gio-English_table.csv
69,Albert Ilg,E21 Person,name-English_table.csv
70,Alberto Cametti,E21 Person,name-English_table.csv
71,Alberto Vecchi,E21 Person,name-English_table.csv
72,Albrecht Dürer,E21 Person,D_refined.csv; name-English_table.csv
73,"Albrizzi, Almor¨°",E21 Person,A_refined.csv
74,"Albrizzi, Giambattista",E21 Person,A_refined.csv
75,Aldo De Rinaldis,E21 Person,name-English_table.csv
76,Aldo Ravà,E21 Person,name-English_table.csv
77,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,A_refined.csv
78,"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,A_refined.csv
79,Alessandro Albani,E21 Person,name-English_table.csv
80,Alessandro Algardi,E21 Person,A_refined.csv; name-English_table.csv
81,Alessandro Baudi di Vesme,E21 Person,name-English_table.csv
82,Alessandro Bettagno,E21 Person,name-English_table.csv
83,Alessandro Borgia,E21 Person,name-English_table.csv
84,Alessandro Farnese (cardinal),E21 Person,name-English_table.csv
85,"Alessandro Farnese, Duke of Parma",E21 Person,name-English_table.csv
86,Alessandro Galilei,E21 Person,G_refined.csv; name-English_table.csv
87,Alessandro Gherardini,E21 Person,G_refined.csv; name-English_table.csv
88,Alessandro Longhi,E21 Person,L_refined.csv; name-English_table.csv
89,Alessandro Ludovisi,E21 Person,name-English_table.csv
90,Alessandro Luzio,E21 Person,name-English_table.csv
91,Alessandro Magnasco,E21 Person,M_refined.csv; name-English_table.csv
92,Alessandro Marabottini,E21 Person,name-English_table.csv
93,Alessandro Marchesini,E21 Person,name-English_table.csv
94,Alessandro Orsini,E21 Person,O_refined.csv; name-English_table.csv
95,Alessandro Peretti di Montalto,E21 Person,name-English_table.csv
96,Alessandro Scarlatti,E21 Person,S_refined.csv; name-English_table.csv
97,Alessandro Sforza,E21 Person,name-English_table.csv
98,Alessandro Turchi,E21 Person,T_refined.csv; name-English_table.csv
99,Alessandro Varotari,E21 Person,name-English_table.csv
100,Alessandro Vasalli,E21 Person,name-English_table.csv
101,Alessandro Vittrici,E21 Person,name-English_table.csv
102,Alessandro Zen,E21 Person,name-English_table.csv
103,Alessandro de' Medici,E21 Person,name-English_table.csv
104,"Alexander Hamilton, 10th Duke of Hamilton",E21 Person,name-English_table.csv
105,Alexander III,E21 Person,name-English_table.csv
106,Alexander Sauli,E21 Person,name-English_table.csv
107,Alexander the Great,E21 Person,name-English_table.csv
108,Alfonso Gesualdo,E21 Person,name-English_table.csv
109,Alfonso I d'Este,E21 Person,name-English_table.csv
110,Alfonso Pérez Sánchez,E21 Person,name-English_table.csv
111,Alfred Sensier,E21 Person,name-English_table.csv
112,Alfredo Bardella,E21 Person,name-English_table.csv
113,"Algarotti, Bonomo",E21 Person,A_refined.csv
114,Alice Binion,E21 Person,name-English_table.csv
115,Allan Hume,E21 Person,name-English_table.csv
116,Allegory of Clemency,E22 Man-Made Object,work-English_table.csv
117,Allegory of Coral fishing,E22 Man-Made Object,work-English_table.csv
118,Allegory of Divine Providence and Barberini Power,E22 Man-Made Object,work-English_table.csv
119,Allegory of Divine Wisdom,E22 Man-Made Object,work-English_table.csv
120,Allegory of Fortune,E22 Man-Made Object,work-English_table.csv
121,Allegory of Rome,E22 Man-Made Object,work-English_table.csv
122,Allegory of Venice,E22 Man-Made Object,work-English_table.csv
123,Allegory of the Arts,E22 Man-Made Object,work-English_table.csv
124,Allegory of the Education of the Crown Prince of the Palatinate,E22 Man-Made Object,work-English_table.csv
125,Aloysius Gonzaga,E21 Person,name-English_table.csv
126,Alps,E53 Place,gio-English_table.csv
127,Altar Paintings for the Parish Church of San Canciano,E22 Man-Made Object,work-English_table.csv
128,Altar of Friendship,E53 Place,gio-English_table.csv; work-English_table.csv
129,Altar of Tranquility and Rural Life,E22 Man-Made Object,work-English_table.csv
130,Altar of Wealth and Apollo,E22 Man-Made Object,work-English_table.csv
131,Altarpiece for Chiesa Nuova,E22 Man-Made Object,work-English_table.csv
132,Altarpiece for Santa Maria dei Cappuccini,E22 Man-Made Object,work-English_table.csv
133,Altarpiece for St. Sebastian,E22 Man-Made Object,work-English_table.csv
134,Altarpiece for the Augustinian Church,E22 Man-Made Object,work-English_table.csv
135,Altarpieces for the Royal Chapel,E22 Man-Made Object,work-English_table.csv
136,Alte Pinakothek,E53 Place,gio-English_table.csv
137,Altero Matteoli,E21 Person,name-English_table.csv
138,Alticchiero (Querini villa),E22 Man-Made Object,A_refined.csv
139,Altieri,E53 Place,gio-English_table.csv
140,Altieri palace,E22 Man-Made Object,A_refined.csv
141,"Altieri, Don Gasparo",E21 Person,A_refined.csv
142,"Altieri, Emilio (Pope Clement X)",E21 Person,A_refined.csv
143,Alvise Mocenigo,E21 Person,name-English_table.csv
144,Alvise Pisani,E21 Person,name-English_table.csv
145,Amadeo Swajer,E21 Person,S_refined.csv; name-English_table.csv
146,Amalfi,E53 Place,gio-English_table.csv
147,Amalia Mezzetti,E21 Person,name-English_table.csv
148,Ambroise Dubois,E21 Person,name-English_table.csv
149,"Amelot de la Houssaye, A. N.",E21 Person,A_refined.csv
150,Amico Ricci,E21 Person,name-English_table.csv
151,Amor Vincit Omnia,E22 Man-Made Object,work-English_table.csv
152,Amsterdam,E53 Place,gio-English_table.csv
153,Anatole de Montaiglon,E21 Person,name-English_table.csv
154,Andrea Brustolon,E21 Person,B_refined.csv; name-English_table.csv
155,Andrea Camassei,E21 Person,C_refined.csv; name-English_table.csv
156,Andrea Carlone,E21 Person,name-English_table.csv
157,Andrea Celesti,E21 Person,C_refined.csv; name-English_table.csv
158,Andrea Doria,E21 Person,name-English_table.csv
159,Andrea Ferreri,E21 Person,name-English_table.csv
160,Andrea Gerini,E21 Person,name-English_table.csv
161,Andrea Giacomo Podestà,E21 Person,name-English_table.csv
162,Andrea Locatelli,E21 Person,L_refined.csv; name-English_table.csv
163,Andrea Mantegna,E21 Person,M_refined.csv; name-English_table.csv
164,Andrea Memmo,E21 Person,M_refined.csv; name-English_table.csv
165,Andrea Ottini,E21 Person,O_refined.csv; name-English_table.csv
166,Andrea Palladio,E21 Person,P_refined.csv; name-English_table.csv
167,Andrea Pozzo,E21 Person,P_refined.csv; name-English_table.csv
168,Andrea Procaccini,E21 Person,P_refined.csv; name-English_table.csv
169,Andrea Querini,E21 Person,Q-R_refined.csv; name-English_table.csv
170,Andrea Sacchi,E21 Person,S_refined.csv; name-English_table.csv
171,Andrea Schiavone,E21 Person,S_refined.csv; name-English_table.csv
172,Andrea Tessier,E21 Person,name-English_table.csv
173,Andrea Toresani,E21 Person,name-English_table.csv
174,Andrea Tron,E21 Person,name-English_table.csv
175,Andrea Vaccaro,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
176,Andrea Zucchi,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
177,Andrea del Rosso,E21 Person,Q-R_refined.csv; name-English_table.csv
178,Andrea del Sarto,E21 Person,S_refined.csv; name-English_table.csv
179,Andreas Scherber,E21 Person,name-English_table.csv
180,Andreina Griseri,E21 Person,name-English_table.csv
181,Andrew Fountaine,E21 Person,name-English_table.csv
182,Andrew the Apostle,E21 Person,name-English_table.csv
183,Andromache weeping before Aeneas,E22 Man-Made Object,work-English_table.csv
184,André Félibien,E21 Person,F_refined.csv; name-English_table.csv
185,Andrés Marzo,E21 Person,name-English_table.csv
186,Angel with the Superscription,E22 Man-Made Object,work-English_table.csv
187,"Angeli, Filippo d' (Napoletano)",E21 Person,A_refined.csv
188,Angelica Griè,E21 Person,name-English_table.csv
189,Angelo Borzelli,E21 Person,name-English_table.csv
190,Angelo Calogerà,E21 Person,name-English_table.csv
191,Angelo Caroselli,E21 Person,C_refined.csv; name-English_table.csv
192,Angelo Cesi,E21 Person,C_refined.csv; name-English_table.csv
193,Angelo Contarini,E21 Person,name-English_table.csv
194,Angelo Crespi,E21 Person,name-English_table.csv
195,Angelo Custode,E22 Man-Made Object,work-English_table.csv
196,Angelo Giori,E21 Person,G_refined.csv; name-English_table.csv
197,Angelo Maria Querini,E21 Person,name-English_table.csv
198,Angelo Michele Colonna,E21 Person,C_refined.csv; name-English_table.csv
199,Angelo Pinetti,E21 Person,name-English_table.csv
200,Angelo Querini,E21 Person,Q-R_refined.csv; name-English_table.csv
201,Angelo Solerti,E21 Person,name-English_table.csv
202,Angelo Trevisani,E21 Person,name-English_table.csv
203,Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,E22 Man-Made Object,work-English_table.csv
204,"Anglesey Abbey, Gardens and Lode Mill",E53 Place,gio-English_table.csv
205,Aniello Falcone,E21 Person,F_refined.csv; name-English_table.csv
206,Animals and Figures in the Flemish Style|des animaux et figures à la flamande,E22 Man-Made Object,work-English_table.csv
207,Ann Sutherland Harris,E21 Person,name-English_table.csv
208,Anna Banti,E21 Person,name-English_table.csv
209,Anna Colonna,E21 Person,C_refined.csv; name-English_table.csv
210,Anna Maria Luisa de' Medici,E21 Person,name-English_table.csv
211,Annamaria Gabrielli,E21 Person,name-English_table.csv
212,Annan Gallery,E53 Place,gio-English_table.csv
213,Anne Claude de Caylus,E21 Person,name-English_table.csv
214,Anne d’Autriche,E21 Person,name-English_table.csv
215,"Anne of Austria, Regent of France",E53 Place,A_refined.csv
216,Anne of Great Britain,E21 Person,name-English_table.csv
217,"Anne, Queen of England",E21 Person,A_refined.csv
218,Anne-Marie du Boccage,E21 Person,name-English_table.csv
219,Annibale Carracci,E21 Person,C_refined.csv; name-English_table.csv
220,Annibale Gonzaga,E21 Person,name-English_table.csv
221,Annibale Laparelli,E21 Person,L_refined.csv; name-English_table.csv
222,Annunciation,E22 Man-Made Object,work-English_table.csv
223,Annunciation Square,E53 Place,gio-English_table.csv
224,Annunziata,E53 Place,gio-English_table.csv
225,Anselmo Costadoni,E21 Person,name-English_table.csv
226,Antenor,E21 Person,name-English_table.csv
227,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",E21 Person,name-English_table.csv
228,Anthony Baldinucci,E21 Person,name-English_table.csv
229,Anthony Blunt,E21 Person,B_refined.csv; name-English_table.csv
230,Anthony Morris Clark,E21 Person,name-English_table.csv
231,Anthony Radcliffe,E21 Person,name-English_table.csv
232,Anthony van Dyck,E21 Person,D_refined.csv; name-English_table.csv
233,Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,A_refined.csv
234,Antichiesetta,E53 Place,gio-English_table.csv
235,Antichita di Palazzi,E22 Man-Made Object,work-English_table.csv
236,Antinous,E21 Person,name-English_table.csv
237,Antoine Coypel,E21 Person,C_refined.csv; name-English_table.csv
238,Antoine Dumesnil,E21 Person,name-English_table.csv
239,Antoine Joseph,E21 Person,name-English_table.csv
240,Antoine Pesne,E21 Person,P_refined.csv; name-English_table.csv
241,Antoine Seilern,E21 Person,name-English_table.csv
242,Anton Domenico Gabbiani,E21 Person,G_refined.csv; name-English_table.csv
243,Anton Florian,E21 Person,name-English_table.csv
244,Anton Francesco Farsetti,E53 Place,F_refined.csv; name-English_table.csv
245,Anton Francesco Goli,E21 Person,name-English_table.csv
246,Anton Maria Zanetti,E21 Person,name-English_table.csv
247,Anton Neumayr von Flessen Seilbitz,E21 Person,name-English_table.csv
248,Anton Raphael Mengs,E21 Person,name-English_table.csv
249,"Antonazzi, Antonio Maria",E21 Person,A_refined.csv
250,Antonello da Messina,E21 Person,M_refined.csv; name-English_table.csv
251,Antonia Spadafora,E21 Person,name-English_table.csv
252,Antonino Bertolotti,E21 Person,name-English_table.csv
253,Antonino Santangelo,E21 Person,name-English_table.csv
254,Antonio Abbondi,E21 Person,name-English_table.csv
255,Antonio Balestra,E21 Person,B_refined.csv; name-English_table.csv
256,Antonio Barberini,E21 Person,name-English_table.csv
257,Antonio Battistella,E21 Person,name-English_table.csv
258,Antonio Beccari,E21 Person,name-English_table.csv
259,Antonio Bellucci,E21 Person,B_refined.csv; name-English_table.csv
260,Antonio Beni,E21 Person,name-English_table.csv
261,Antonio Canal,E21 Person,name-English_table.csv
262,Antonio Canova,E21 Person,C_refined.csv; name-English_table.csv
263,Antonio Cappello,E21 Person,C_refined.csv; name-English_table.csv
264,Antonio Corradini,E21 Person,C_refined.csv; name-English_table.csv
265,Antonio Dardani,E21 Person,D_refined.csv; name-English_table.csv
266,Antonio Del Grande,E21 Person,G_refined.csv; name-English_table.csv
267,Antonio Ermolao Paoletti,E21 Person,name-English_table.csv
268,Antonio Francesco Gori,E21 Person,name-English_table.csv
269,Antonio Franchi,E21 Person,F_refined.csv; name-English_table.csv
270,Antonio Gai,E21 Person,G_refined.csv; name-English_table.csv
271,Antonio Genovesi,E21 Person,G_refined.csv; name-English_table.csv
272,Antonio Giussani,E21 Person,name-English_table.csv
273,Antonio Grimani,E21 Person,name-English_table.csv
274,Antonio Joli,E21 Person,J，K_refined.csv; name-English_table.csv
275,Antonio Lombardo,E21 Person,name-English_table.csv
276,Antonio Longo,E21 Person,L_refined.csv; name-English_table.csv
277,Antonio Loredan,E21 Person,L_refined.csv; name-English_table.csv
278,Antonio Lorenzini,E21 Person,name-English_table.csv
279,Antonio Maria Antoniazzi,E21 Person,name-English_table.csv
280,Antonio Maria Marini,E21 Person,name-English_table.csv
281,Antonio Maria Vassallo,E21 Person,name-English_table.csv
282,Antonio Maria Zanetti,E21 Person,name-English_table.csv
283,Antonio Molinari,E21 Person,M_refined.csv; name-English_table.csv
284,Antonio Morassi,E21 Person,name-English_table.csv
285,Antonio Palomino,E21 Person,name-English_table.csv
286,Antonio Paluello,E21 Person,name-English_table.csv
287,Antonio Petito,E21 Person,name-English_table.csv
288,Antonio Pisanello,E21 Person,P_refined.csv; name-English_table.csv
289,Antonio Pitteri,E21 Person,name-English_table.csv
290,Antonio Ruffo,E21 Person,Q-R_refined.csv; name-English_table.csv
291,Antonio Schinella Conti,E21 Person,name-English_table.csv
292,Antonio Triva,E21 Person,T_refined.csv; name-English_table.csv
293,Antonio Vallisneri,E21 Person,name-English_table.csv
294,Antonio Verrio,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
295,Antonio Visentini,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
296,Antonio Zanchi,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
297,Antonio Zatta,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
298,Antonio Zucchi,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
299,Antonio da Correggio,E21 Person,name-English_table.csv
300,Antonio del Rosso,E21 Person,Q-R_refined.csv; name-English_table.csv
301,Apelles,E21 Person,name-English_table.csv
302,Apollo,E21 Person,name-English_table.csv
303,Apollo Chasing Daphne,E22 Man-Made Object,work-English_table.csv
304,Apollo and the Muses,E22 Man-Made Object,work-English_table.csv
305,Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,E22 Man-Made Object,work-English_table.csv
306,Apollo flaying Marsyas,E22 Man-Made Object,work-English_table.csv
307,Apostles,E22 Man-Made Object,work-English_table.csv
308,Apostolic Chamber of Commerc,E53 Place,gio-English_table.csv
309,Apostolic Palace,E53 Place,gio-English_table.csv
310,Apostolo Zeno,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
311,Apotheosis of Aeneas,E22 Man-Made Object,work-English_table.csv
312,Apotheosis of the Medici,E22 Man-Made Object,work-English_table.csv
313,Apotheosis of the Pisani,E22 Man-Made Object,work-English_table.csv
314,"Aquaviva, Claudio",E21 Person,A_refined.csv
315,"Arcadia, Society of",E74 Group,A_refined.csv
316,Arcangelo Corelli,E21 Person,C_refined.csv; name-English_table.csv
317,Arch. del Gov. di Roma,E53 Place,gio-English_table.csv
318,Archangel Michael defeats Satan,E22 Man-Made Object,work-English_table.csv
319,Archbasilica of St. John Lateran,E53 Place,gio-English_table.csv
320,Archduke Leopold Wilhelm of Austria,E21 Person,name-English_table.csv
321,Archiepiscopal palace,E53 Place,gio-English_table.csv
322,Archiginnasio,E53 Place,gio-English_table.csv
323,Archives nationales,E53 Place,gio-English_table.csv
324,Archivio Comunale,E53 Place,gio-English_table.csv
325,Archivio Comunale di Treviso,E53 Place,gio-English_table.csv
326,Archivio Mediceo,E53 Place,gio-English_table.csv
327,Archivio Storico per la Province Napoletane,E53 Place,gio-English_table.csv
328,Archivio di Stato,E53 Place,gio-English_table.csv
329,Archivio di Stato di Venezia,E53 Place,gio-English_table.csv
330,Archivio storico capitolino,E53 Place,gio-English_table.csv
331,Archiviodella Compagnia di Gesù,E53 Place,gio-English_table.csv
332,"Arconato, Galeazzo",E21 Person,A_refined.csv
333,Arena Chapel,E53 Place,gio-English_table.csv
334,Argus guarding,E22 Man-Made Object,work-English_table.csv
335,Ariadne being woken by Love,E22 Man-Made Object,work-English_table.csv
336,Ariccia,E53 Place,gio-English_table.csv
337,Ariosto,E21 Person,A_refined.csv
338,Aristotle,E21 Person,name-English_table.csv
339,Aristotle with a Bust of Homer,E22 Man-Made Object,work-English_table.csv
340,Arlington Street,E53 Place,gio-English_table.csv
341,"Arlington, Lord",E21 Person,A_refined.csv
342,Armand Baschet,E21 Person,name-English_table.csv
343,Armand Jean du Plessis,E21 Person,name-English_table.csv
344,"Armanni, G. A.",E21 Person,A_refined.csv
345,Armenian College,E53 Place,gio-English_table.csv
346,Arnaldi Lodovico,E21 Person,name-English_table.csv
347,Arnauld Brejon de Lavergnée,E21 Person,name-English_table.csv
348,Arnold Hauser,E21 Person,name-English_table.csv
349,"Arpino, Cavaliere d'",E21 Person,A_refined.csv
350,"Arrighi-Landini, Orazio",E21 Person,A_refined.csv
351,Arrighini,E21 Person,A_refined.csv
352,Arrival of the French Ambassador in Venice,E22 Man-Made Object,work-English_table.csv
353,Art Institute of Chicago,E53 Place,gio-English_table.csv
354,Art Institute of Chicago Robert A. Waller Fund,E53 Place,gio-English_table.csv
355,Art Institute of Chicago. Museum Studies,E53 Place,gio-English_table.csv
356,Art dealers,E74 Group,A_refined.csv
357,Art exhibitions,E5 Event,A_refined.csv
358,Artemisia Gentileschi,E21 Person,G_refined.csv; name-English_table.csv
359,Arthur Ewart Popham,E21 Person,name-English_table.csv
360,Arthur Stanley Turberville,E21 Person,name-English_table.csv
361,"Artist's position in society, Andrea Memmo on",E28 Conceptual Object,A_refined.csv
362,"Artists, status of in 17th-century Rome",E28 Conceptual Object,A_refined.csv
363,"Arts Graphiques de la Cité,Agraci",E53 Place,gio-English_table.csv
364,Arturo Jahn Rusconi,E21 Person,name-English_table.csv
365,"Arundel, Lord",E21 Person,A_refined.csv
366,Ascanio Filomarino,E21 Person,name-English_table.csv
367,Ascanius Shooting the Stag of Sylvia,E22 Man-Made Object,work-English_table.csv
368,Asclepius,E21 Person,name-English_table.csv
369,Ascoli Piceno,E53 Place,gio-English_table.csv
370,Ashmolean Museum,E53 Place,gio-English_table.csv
371,Assumption of the Virgin,E22 Man-Made Object,work-English_table.csv
372,"Astalli (Pamfili), Camillo",E21 Person,A_refined.csv
373,Asti,E53 Place,gio-English_table.csv
374,Attila,E21 Person,name-English_table.csv
375,"Audran, Benoit",E21 Person,A_refined.csv
376,Augustin Lehmann,E21 Person,name-English_table.csv
377,Augustinian Monastery Altarpiece,E22 Man-Made Object,work-English_table.csv
378,Augustinian church,E53 Place,gio-English_table.csv
379,Augustinian convent,E53 Place,gio-English_table.csv
380,Augusto Bazzoni,E21 Person,name-English_table.csv
381,Augusto Pierantoni,E21 Person,name-English_table.csv
382,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",E21 Person,A_refined.csv
383,Augustus II the Strong,E21 Person,name-English_table.csv
384,Augustus III of Poland,E21 Person,name-English_table.csv
385,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",E21 Person,A_refined.csv
386,Aurelio Gotti,E21 Person,name-English_table.csv
387,Aurelio Lepre,E21 Person,name-English_table.csv
388,Aurelio Rezzonico,E21 Person,Q-R_refined.csv; name-English_table.csv
389,Aurora,E22 Man-Made Object,work-English_table.csv
390,Austrian National Library,E53 Place,gio-English_table.csv
391,Avignon,E53 Place,gio-English_table.csv
392,Avviso,E53 Place,gio-English_table.csv
393,"Azzolini, Cardinal",E21 Person,A_refined.csv
394,Babylon,E22 Man-Made Object,work-English_table.csv
395,Bacchanal,E22 Man-Made Object,work-English_table.csv
396,Bacchanalia,E22 Man-Made Object,work-English_table.csv
397,Bacchus,E22 Man-Made Object,work-English_table.csv
398,Bacchus and Ariadne,E22 Man-Made Object,work-English_table.csv
399,Baccio Bandinelli,E21 Person,B_refined.csv; name-English_table.csv
400,Baccio Ciarpi,E21 Person,C_refined.csv; name-English_table.csv
401,Badminton House from Badminton Park,E22 Man-Made Object,work-English_table.csv
402,Baglioni Chapel,E53 Place,gio-English_table.csv
403,Baglioni collection,E22 Man-Made Object,B_refined.csv
404,"Bagnara, Duchess of",E21 Person,B_refined.csv
405,Bagnoli,E53 Place,gio-English_table.csv
406,"Bagutti, Pietro Martire",E21 Person,B_refined.csv
407,"Baines, Sir Thomas",E21 Person,B_refined.csv
408,Baldassare Franceschini,E53 Place,F_refined.csv; name-English_table.csv
409,"Baldoini, Giovanni Gasparo",E21 Person,B_refined.csv
410,Balthasar Permoser,E21 Person,P_refined.csv; name-English_table.csv
411,Balthasar de Monconys,E21 Person,M_refined.csv; name-English_table.csv
412,Bamboccianti,E74 Group,B_refined.csv
413,Bandinello Sauli,E21 Person,name-English_table.csv
414,"Bandino, Cardinal",E21 Person,B_refined.csv
415,Bank of France,E53 Place,gio-English_table.csv
416,Banqueting House,E53 Place,gio-English_table.csv
417,Barak before Deborah,E22 Man-Made Object,work-English_table.csv
418,"Baratta, Francesco",E53 Place,B_refined.csv
419,Barbara Mazza,E21 Person,name-English_table.csv
420,"Barbarigo, Caterina",E21 Person,B_refined.csv
421,"Barbaro, Antonio",E21 Person,B_refined.csv
422,Barber Institute of Fine Arts,E53 Place,gio-English_table.csv
423,Barberini Chapel in S. Andrea della Valle,E22 Man-Made Object,work-English_table.csv
424,Barberini Chapelin S.Andreadella Valle),E22 Man-Made Object,work-English_table.csv
425,Barberini family,E74 Group,B_refined.csv
426,Barberini library,E53 Place,gio-English_table.csv
427,Barberini palace,E22 Man-Made Object,B_refined.csv
428,"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",E21 Person,B_refined.csv
429,"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,B_refined.csv
430,"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,B_refined.csv
431,"Barberini, Carlo (brother to Urban VIII)",E21 Person,B_refined.csv
432,"Barberini, Maffeo (Pope Urban VIII)",E21 Person,B_refined.csv
433,"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,B_refined.csv
434,"Barberini, Prince Maffeo (son of Taddeo Barberini)",E21 Person,B_refined.csv
435,"Barberini, Taddeo (nephew to Urban VIII)",E21 Person,B_refined.csv
436,"Baretti, Giuseppe",E21 Person,B_refined.csv
437,Bargello National Museum,E53 Place,gio-English_table.csv
438,Barnabites,E53 Place,gio-English_table.csv
439,Barnabotti,E74 Group,B_refined.csv
440,"Baronio, Cardinal",E21 Person,B_refined.csv
441,Bartholomew the Apostle,E21 Person,name-English_table.csv
442,"Bartoli, Pietro Santo",E21 Person,B_refined.csv
443,Bartolomeo Bassante,E21 Person,name-English_table.csv
444,Bartolomeo Letterini,E21 Person,name-English_table.csv
445,Bartolomeo Montagna,E21 Person,name-English_table.csv
446,Bartolomeo Nazari,E21 Person,name-English_table.csv
447,Bartolomeo Schedoni,E21 Person,name-English_table.csv
448,Bartolomeo Vivarini,E21 Person,name-English_table.csv
449,"Bartolommeo, Fra",E21 Person,B_refined.csv
