Index_Entry,Formal_Full_Name,Normalization_Category
Statues for the Lateran Basilica,,Place
Stefano Sadani,,Work
Strength protecting Wisdom,,Work
Sulla maniera di Zorzone,,Work
Tarantella Dancers,,Work
Tarquin and Lucretia and a Joseph,,Person
Tavole Barberini,,Work
Tempest with Pyramus and Thisbe,,Work
Teodora dal Pozzo,,Work
Teresa Maria Marcellino,,Work
Palazzo The Arrival at the,,Work
The Assumption of the Blessed Luigi Gonzaga,,Work
The Beheading of St Paul,,Person
The Capture of Syracuse with the Death of Archimedes,,Person
The Death of St Francis Xavier,,Place (Reclassified)
The Deposition from the Cross/Deposition,,Work
The Ecstasy of St Margaret,,Work
The Four Continents paying homage to Karl Philip von Greiffenklau,,Work
The Glorification of the Trinity with the Adoration of the instruments of Passion,,Work
The Glory of St Dominic,,Work
The Glory of Saint Luigi Gonzaga,,Work
The Infant Jupiter handed over by Cybele to the Corybantes to befed,,Work
The Killing of Sisera,,Work
The Life of Cato,,Work
The Life of Saint Ursula,,Work
The Punishment of the Prophet Ananias,,Work
The Strada Emmanuela,,Work
The Three Angels visiting Abraham,,Work
The Virgin Giving the Habit to Saint Teresa,,Work
"The War between the Romans and the Sabines, and Coriolanus and his Mother",,Work
The artist with a group of friends,,Place
The stoning of Zechariah,,Work
Theodor Helm Breaker,,Work
Third Colonnade for Saint Peter's Square (unfinished),,Work
"Three Dominican Saints: Vincent, Hyacinth and Lawrence",,Work
Three Portraits of Dogs,,Work
Tiberio Roberti,,Person
Tiepolo's Etchings,,Work
Tre Animali,,Work
Twelve Watercolors of Venetian Women,,Work
Two Baskets of Fruit and Flowers,,Person
Ufficio dell' Assessore Comunale alle Belle Arti,,Work
Un trionfo d'armi,,Work
Urbino Cathedral,,Work
Varj Capriccj,,Work
Vatican Papal Basilica,,Place
Venetian Military Republic,,Work
Venice Notarial Section,,Place
Venice-Inquisitori di Stato,,Work
Venice-Inquisiwri,,Place
Venice-Sezione Notarile,,Place
Venice-Stampe,,Place
Ventura Carrara,,Place
Ventura Rossi,,Place
Venus Leaving the Bath,,Place
Venus Mourning over the Death of Adonis,,Place
Venus playing with Cupid,,Person
Via de' Giubbonari,,Person
Vienna Foscarini,,Work
Vigilie di San Pietro,,Work
Villa d'Arcetri,,Work
Vincenzo da Canal,,Place
Virgil Bassanino,,Person
Virgin and Child holding Rosaries with Saints Catherine and Dominic,,Work
Virgin protecting the city of Spoleto,,Place
Virginia Museum of fine Arts Williams Fund,,Person
Viterbo Moroni,,Person
Vrilliere,,Work
William Chandler Kirwin,,Work
Woman Playing Musical Instrument,,Place
Women washing their Laundry at a Fountain,,Place
Youth rescued from the Pleasures of Venus,,Place
Zephyr Abducting Chloris,,Person
Zuane Udni,,Work
Nell¡¯ingresso del procuratore Giorgio Pisani,,Work
Una favola d'Enea,,Work
,,Work
,,Person
,,Work
,,Work
