QID,统一英文全名,P31|标签|实例英文
Q62588803,The Plague at Ashdod,painting
Q119496876,The Children of Charles I,painting
Q128136233,Johann Matthias von der Schulenburg,painting
Q118998667,Frederick the Great,painting
Q119075275,Portrait of Pope Clement IX,painting
Q60760150,Portrait of Pope Innocent X Pamphili,sculpture
Q1240092,Portrait of Innocent X,painting
Q87459322,Jean Jacques Rousseau,sculpture
Q85342160,Portrait of Sigismund Streit,painting
Q5002065,Bust of Carlo Antonio del Pozzo,sculpture
Q56062813,Voltaire,sculpture
Q2636862,Prato della Valle,square
Q106777102,Prometheus,painting
Q21716446,"Regatta on the Grand Canal in Honour of Frederick IV of Denmark on 4 March, 1710",painting
Q28796949,The Rest on the Flight into Egypt,painting
Q52289557,The Sacrifice of Noah,painting
Q27895778,Landscape with the Father of Psyche Sacrificing at the Milesian Temple of Apollo,painting
Q79516336,"Madonna with Saints Agnes, Catherine and Rosa",print
Q27964827,Saint Peter Penitent,painting
Q104443853,Landscape with the Port of Santa Marinella,painting
Q52242065,A Seaport,painting
Q97838760,Semiramis Called to Arms,painting
Q7457394,Seven Sacraments,painting series
Q50819037,"Sir Thomas Baines, F.R.S., F.R.C.P. 1622-1681",painting
Q119782763,"Sir Thomas Isham (1656–1681), 3rd Bt Isham",painting
Q119906345,The Assassination of St Peter the Martyr (after Titian),painting
Q62022439,The Martyrdom of St. Sebastian,painting
Q77959687,Saint Andrew,sculpture
Q20087448,Madonna and Child with the Infant Saint John the Baptist,painting
Q7401650,Saint Longinus,sculpture
Q7591669,Saint Sebastian,sculpture of a saint|statue
Q42195908,Saint Susanna,sculpture
Q121790161,Venus Italica,statue
Q117456254,Susanna and the Elders,painting
Q29871346,Susanna and the Elders,painting
Q19897770,Solomon in the Temple,painting
Q118876935,The Abduction of Helen,painting
Q18600136,The Andrians,painting
Q119207792,The Arcadian Shepherds (after Nicolas Poussin),painting
Q109925916,Archangel Michael defeats Satan,painting
Q119950356,The Ascension of Christ,painting
Q2182509,Cristo della Minerva,statue of Jesus
Q50949392,The Assumption of the Virgin,painting
Q88588324,The Assumption of the Virgin,painting
Q77007619,The Banquet of Antony and Cleopatra,print
Q19911646,The Baptism of Christ,painting
Q1232131,The Bean Eater,painting
Q11710021,Homer,painting
Q50948769,The Apotheosis of Christ's Blood and the Holy Cross (bozzetto),painting
Q124039533,The Capture of Jerusalem by Titus,painting series
Q118993578,The Choice of Hercules,painting
Q64800013,The Continence of Scipio,painting
Q3224346,Crocifissione di Pietro,painting
Q2513438,A Dance to the Music of Time,painting
Q17442910,Death of Cleopatra,painting
Q50821144,The death of Darius,painting
Q55831023,Death of Dido,painting
Q20890835,The Death of Germanicus,painting
Q3863245,Death of Seneca,painting
Q17652393,Drunken Silenus,painting
Q1213151,The Entombment of Christ,painting
Q18167078,The Banquet of Cleopatra,painting
Q27955591,The Feast of Herod,painting
Q67203478,Apollo flaying Marsyas,painting|painting series
Q60469737,Rest on the Flight into Egypt,painting
Q64538230,The Flight into Egypt,painting
Q118397664,The Great Flood,painting
Q1994701,Horses of Saint Mark,work of art|group of sculptures
Q119756834,Coast Scene with the Landing of Aeneas in Latium,painting
Q105496497,"The Last Supper, Washington, D.C.",painting
Q119934977,The Marriage at Cana (after Paolo Veronese),painting
Q3947947,Saint Sebastian,painting
Q59542375,The Martyrdom of Saint Erasmus,painting
Q104934282,Martyrdom of St. Cecilia,work of art
Q27700204,The Birth of Saint John the Baptist,painting
